prov,fecha,casos_tot,dup
Buenos_Aires,2020-03-05,0,NA
CABA,2020-03-05,0,NA
Catamarca,2020-03-05,0,NA
Chaco,2020-03-05,0,NA
Chubut,2020-03-05,0,NA
Cordoba,2020-03-05,0,NA
Corrientes,2020-03-05,0,NA
Entre_Rios,2020-03-05,0,NA
Formosa,2020-03-05,0,NA
Jujuy,2020-03-05,0,NA
La_Pampa,2020-03-05,0,NA
La_Rioja,2020-03-05,0,NA
Mendoza,2020-03-05,0,NA
Misiones,2020-03-05,0,NA
Neuquen,2020-03-05,0,NA
Rio_Negro,2020-03-05,0,NA
Salta,2020-03-05,0,NA
San_Juan,2020-03-05,0,NA
San_Luis,2020-03-05,0,NA
Santa_Cruz,2020-03-05,0,NA
Santa_Fe,2020-03-05,0,NA
Santiago_del_Estero,2020-03-05,0,NA
Tierra_del_fuego,2020-03-05,0,NA
Tucuman,2020-03-05,0,NA
Buenos_Aires,2020-03-06,0,NA
CABA,2020-03-06,1,NA
Catamarca,2020-03-06,0,NA
Chaco,2020-03-06,0,NA
Chubut,2020-03-06,0,NA
Cordoba,2020-03-06,0,NA
Corrientes,2020-03-06,0,NA
Entre_Rios,2020-03-06,0,NA
Formosa,2020-03-06,0,NA
Jujuy,2020-03-06,0,NA
La_Pampa,2020-03-06,0,NA
La_Rioja,2020-03-06,0,NA
Mendoza,2020-03-06,0,NA
Misiones,2020-03-06,0,NA
Neuquen,2020-03-06,0,NA
Rio_Negro,2020-03-06,0,NA
Salta,2020-03-06,0,NA
San_Juan,2020-03-06,0,NA
San_Luis,2020-03-06,0,NA
Santa_Cruz,2020-03-06,0,NA
Santa_Fe,2020-03-06,0,NA
Santiago_del_Estero,2020-03-06,0,NA
Tierra_del_fuego,2020-03-06,0,NA
Tucuman,2020-03-06,0,NA
Buenos_Aires,2020-03-07,0,NA
CABA,2020-03-07,1,NA
Catamarca,2020-03-07,0,NA
Chaco,2020-03-07,0,NA
Chubut,2020-03-07,0,NA
Cordoba,2020-03-07,0,NA
Corrientes,2020-03-07,0,NA
Entre_Rios,2020-03-07,0,NA
Formosa,2020-03-07,0,NA
Jujuy,2020-03-07,0,NA
La_Pampa,2020-03-07,0,NA
La_Rioja,2020-03-07,0,NA
Mendoza,2020-03-07,0,NA
Misiones,2020-03-07,0,NA
Neuquen,2020-03-07,0,NA
Rio_Negro,2020-03-07,0,NA
Salta,2020-03-07,0,NA
San_Juan,2020-03-07,0,NA
San_Luis,2020-03-07,0,NA
Santa_Cruz,2020-03-07,0,NA
Santa_Fe,2020-03-07,0,NA
Santiago_del_Estero,2020-03-07,0,NA
Tierra_del_fuego,2020-03-07,0,NA
Tucuman,2020-03-07,0,NA
Buenos_Aires,2020-03-08,1,NA
CABA,2020-03-08,3,NA
Catamarca,2020-03-08,0,NA
Chaco,2020-03-08,0,NA
Chubut,2020-03-08,0,NA
Cordoba,2020-03-08,0,NA
Corrientes,2020-03-08,0,NA
Entre_Rios,2020-03-08,0,NA
Formosa,2020-03-08,0,NA
Jujuy,2020-03-08,0,NA
La_Pampa,2020-03-08,0,NA
La_Rioja,2020-03-08,0,NA
Mendoza,2020-03-08,0,NA
Misiones,2020-03-08,0,NA
Neuquen,2020-03-08,0,NA
Rio_Negro,2020-03-08,0,NA
Salta,2020-03-08,0,NA
San_Juan,2020-03-08,0,NA
San_Luis,2020-03-08,0,NA
Santa_Cruz,2020-03-08,0,NA
Santa_Fe,2020-03-08,0,NA
Santiago_del_Estero,2020-03-08,0,NA
Tierra_del_fuego,2020-03-08,0,NA
Tucuman,2020-03-08,0,NA
Buenos_Aires,2020-03-09,1,NA
CABA,2020-03-09,4,1.3183980802870456
Catamarca,2020-03-09,0,NA
Chaco,2020-03-09,2,NA
Chubut,2020-03-09,0,NA
Cordoba,2020-03-09,0,NA
Corrientes,2020-03-09,0,NA
Entre_Rios,2020-03-09,0,NA
Formosa,2020-03-09,0,NA
Jujuy,2020-03-09,0,NA
La_Pampa,2020-03-09,0,NA
La_Rioja,2020-03-09,0,NA
Mendoza,2020-03-09,0,NA
Misiones,2020-03-09,0,NA
Neuquen,2020-03-09,0,NA
Rio_Negro,2020-03-09,1,NA
Salta,2020-03-09,0,NA
San_Juan,2020-03-09,0,NA
San_Luis,2020-03-09,1,NA
