fecha,dia,casos_tot,recta1,recta2,recta2,dup1,dup2,dup3,casos_diarios
2020-03-03,0,1,,,,,,,1
2020-03-04,1,1,,,,,,,0
2020-03-05,2,1,,,,,,,0
2020-03-06,3,2,,,,,,,1
2020-03-07,4,9,17.4,,,3.2,,,7
2020-03-08,5,12,21.6,,,3.2,,,3
2020-03-09,6,17,26.8,,,3.2,,,5
2020-03-10,7,19,33.3,,,3.2,,,2
2020-03-11,8,21,41.4,,,3.2,,,2
2020-03-12,9,31,51.4,,,3.2,,,10
2020-03-13,10,34,63.8,,,3.2,,,3
2020-03-14,11,45,79.2,,,3.2,,,11
2020-03-15,12,56,98.4,,,3.2,,,11
2020-03-16,13,65,122.1,,,3.2,,,9
2020-03-17,14,78,151.7,,,3.2,,,13
2020-03-18,15,97,188.3,,,3.2,,,19
2020-03-19,16,128,233.8,,,3.2,,,31
2020-03-20,17,158,290.4,,,3.2,,,30
2020-03-21,18,225,360.5,,,3.2,,,67
2020-03-22,19,266,447.7,,,3.2,,,41
2020-03-23,20,301,555.9,,,3.2,,,35
2020-03-24,21,387,690.3,,,3.2,,,86
2020-03-25,22,502,,,,,,,115
2020-03-26,23,589,,,,,,,87
2020-03-27,24,690,,,,,,,101
2020-03-28,25,745,,,,,,,55
2020-03-29,26,820,,,,,,,75
2020-03-30,27,966,,,,,,,146
2020-03-31,28,1054,,,,,,,88
2020-04-01,29,1133,,,,,,,79
2020-04-02,30,1265,,,,,,,132
2020-04-03,31,1353,,,,,,,88
2020-04-04,32,1451,,,,,,,98
2020-04-05,33,1554,,,,,,,103
2020-04-06,34,1628,,,,,,,74
2020-04-07,35,1715,,,,,,,87
2020-04-08,36,1795,,,,,,,80
2020-04-09,37,1894,,,,,,,99
2020-04-10,38,1975,,,,,,,81
2020-04-11,39,2142,,,,,,,167
2020-04-12,40,2208,,3237.3,,,19.9,,66
2020-04-13,41,2277,,3351.9,,,19.9,,69
2020-04-14,42,2443,,3470.6,,,19.9,,166
2020-04-15,43,2571,,3593.5,,,19.9,,128
2020-04-16,44,2669,,3720.8,,,19.9,,98
2020-04-17,45,2758,,3852.6,,,19.9,,89
2020-04-18,46,2839,,3989.0,,,19.9,,81
2020-04-19,47,2941,,4130.3,,,19.9,,102
2020-04-20,48,3031,,4276.5,,,19.9,,90
2020-04-21,49,3144,,4428.0,,,19.9,,113
2020-04-22,50,3288,,4584.8,,,19.9,,144
2020-04-23,51,3435,,4747.1,,,19.9,,147
2020-04-24,52,3607,,4915.2,,,19.9,,172
2020-04-25,53,3780,,5089.3,,,19.9,,173
2020-04-26,54,3892,,5269.5,,,19.9,,112
2020-04-27,55,4003,,5456.1,,,19.9,,111
2020-04-28,56,4127,,5649.3,,,19.9,,124
2020-04-29,57,4285,,5849.4,,,19.9,,158
2020-04-30,58,4428,,6056.5,,,19.9,,143
2020-05-01,59,4532,,6271.0,,,19.9,,104
2020-05-02,60,4681,,6493.1,,,19.9,,149
2020-05-03,61,4783,,6723.0,,,19.9,,102
2020-05-04,62,4887,,6961.1,,,19.9,,104
2020-05-05,63,5020,,7207.6,,,19.9,,133
2020-05-06,64,5208,,7462.9,,,19.9,,188
2020-05-07,65,5371,,7727.1,,,19.9,,163
2020-05-08,66,5611,,8000.8,,,19.9,,240
2020-05-09,67,5776,,8284.1,,,19.9,,165
2020-05-10,68,6034,,8577.5,,,19.9,,258
2020-05-11,69,6278,,8881.2,,,19.9,,244
2020-05-12,70,6563,,9195.7,,,19.9,,285
2020-05-13,71,6879,,,,,,,316
2020-05-14,72,7134,,,,,,,255
2020-05-15,73,7479,,,,,,,345
2020-05-16,74,7805,,,,,,,326
2020-05-17,75,8068,,,,,,,263
2020-05-18,76,8371,,,,,,,303
2020-05-19,77,8809,,,,,,,438
2020-05-20,78,9283,,,,,,,474
2020-05-21,79,9931,,,,,,,648
2020-05-22,80,10649,,,,,,,718
2020-05-23,81,11353,,,,,,,704
2020-05-24,82,12076,,,,,,,723
2020-05-25,83,12628,,,,,,,552
2020-05-26,84,13228,,,,,,,600
2020-05-27,85,13933,,,,,,,705
2020-05-28,86,14702,,,,,,,769
2020-05-29,87,15419,,,,,,,717
2020-05-30,88,16214,,,,,,,795
2020-05-31,89,16851,,,,,,,637
2020-06-01,90,17415,,,24342.7,,,15.2,564
2020-06-02,91,18319,,,25478.5,,,15.2,904
2020-06-03,92,19268,,,26667.2,,,15.2,949
2020-06-04,93,20197,,,27911.4,,,15.2,929
2020-06-05,94,21037,,,29213.6,,,15.2,840
2020-06-06,95,22020,,,30576.6,,,15.2,983
2020-06-07,96,22794,,,32003.1,,,15.2,774
2020-06-08,97,23620,,,33496.3,,,15.2,826
2020-06-09,98,24761,,,35059.1,,,15.2,1141
2020-06-10,99,25987,,,36694.8,,,15.2,1226
2020-06-11,100,27373,,,38406.8,,,15.2,1386
2020-06-12,101,28764,,,40198.7,,,15.2,1391
2020-06-13,102,30295,,,42074.2,,,15.2,1531
2020-06-14,103,31577,,,44037.2,,,15.2,1282
2020-06-15,104,32785,,,46091.8,,,15.2,1208
2020-06-16,105,34159,,,48242.2,,,15.2,1374
2020-06-17,106,35552,,,50493.0,,,15.2,1393
2020-06-18,107,37510,,,52848.7,,,15.2,1958
2020-06-19,108,39570,,,55314.4,,,15.2,2060
2020-06-20,109,41204,,,57895.2,,,15.2,1634
2020-06-21,110,42785,,,60596.3,,,15.2,1581
2020-06-22,111,44931,,,63423.5,,,15.2,2146
2020-06-23,112,47216,,,66382.5,,,15.2,2285
2020-06-24,113,49851,,,69479.7,,,15.2,2635
2020-06-25,114,52457,,,72721.3,,,15.2,2606
2020-06-26,115,55343,,,76114.1,,,15.2,2886
2020-06-27,116,57744,,,79665.3,,,15.2,2401
2020-06-28,117,59933,,,83382.1,,,15.2,2189
2020-06-29,118,62268,,,87272.4,,,15.2,2335
2020-06-30,119,64530,,,,,,,2262
2020-07-01,120,67197,,,,,,,2667
2020-07-02,121,69941,,,,,,,2744
2020-07-03,122,72786,,,,,,,2845
2020-07-04,123,75376,,,,,,,2590
2020-07-05,124,77815,,,,,,,2439
2020-07-06,125,80447,,,,,,,2632
2020-07-07,126,83426,,,,,,,2979
