prov,dia,casos_tot,dup,dup.inicial,dup.fase1,dup.fase2,dup.fase4,dup.inicial,dup.sincasos
Buenos Aires,0,0,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,1,0,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,2,0,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,3,1,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,4,1,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,5,1,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,6,9,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,7,9,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,8,10,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,8,11,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,9,12,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,10,13,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,11,14,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,12,15,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,13,21,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,14,35,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,15,44,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,16,58,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,17,66,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,18,71,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,19,100,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,20,130,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,21,157,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,22,193,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Buenos Aires,23,201,13.5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
