fecha,casos_tot,casos_recuperados,casos_fallecidos,casos_activos_Arg,casos_recup_fall,casos_UTI_Arg,camas_UTIARG
2020-03-05,1,0,0,1,0,NA,8521
2020-03-06,2,0,0,2,0,NA,8521
2020-03-07,2,0,NA,NA,NA,NA,8521
2020-03-08,12,0,0,12,0,NA,8521
2020-03-09,17,0,1,16,1,NA,8521
2020-03-10,19,0,1,18,1,NA,8521
2020-03-11,21,0,1,20,1,NA,8521
2020-03-12,31,0,1,30,1,NA,8521
2020-03-13,34,0,2,32,2,NA,8521
2020-03-14,45,0,2,43,2,NA,8521
2020-03-15,56,0,2,54,2,NA,8521
2020-03-16,65,0,2,63,2,NA,8521
2020-03-17,78,0,2,76,2,NA,8521
2020-03-18,97,0,2,95,2,NA,8521
2020-03-19,128,0,3,125,3,NA,8521
2020-03-20,158,0,3,155,3,NA,8521
2020-03-21,225,0,4,221,4,NA,11517
2020-03-22,265,0,4,261,4,NA,11517
2020-03-23,301,0,4,297,4,NA,11517
2020-03-24,385,63,6,316,69,NA,11517
2020-03-25,502,72,8,422,80,NA,11517
2020-03-26,589,76,12,501,88,22,11517
2020-03-27,690,80,17,593,97,25,11517
2020-03-28,745,91,19,635,110,33,11517
2020-03-29,820,228,21,571,249,44,11517
2020-03-30,966,240,24,702,264,53,11517
2020-03-31,1054,248,27,779,275,55,11517
2020-04-01,1133,256,34,843,290,55,11517
2020-04-02,1265,266,37,962,303,72,11517
2020-04-03,1353,279,42,1032,321,82,11517
2020-04-04,1451,280,44,1127,324,NA,11517
2020-04-05,1554,325,48,1181,373,NA,11517
2020-04-06,1628,338,54,1236,392,94,11517
2020-04-07,1715,358,60,1297,418,96,11517
2020-04-08,1795,365,69,1361,434,98,11517
2020-04-09,1894,375,79,1440,454,98,11517
2020-04-10,1975,440,83,1452,523,NA,11517
2020-04-11,2142,468,90,1584,558,115,11517
2020-04-12,2208,515,95,1598,610,83,11517
2020-04-13,2277,559,101,1617,660,113,11517
2020-04-14,2443,596,109,1738,705,116,11517
2020-04-15,2571,631,115,1825,746,117,11517
2020-04-16,2670,666,122,1882,788,121,11517
2020-04-17,2758,685,129,1944,814,126,11517
2020-04-18,2839,709,132,1998,841,127,11517
2020-04-19,2941,737,136,2068,873,123,11517
2020-04-20,3031,840,145,2046,985,126,11517
2020-04-21,3144,872,152,2120,1024,129,11517
2020-04-22,3288,919,159,2210,1078,131,11517
2020-04-23,3435,976,167,2292,1143,136,11517
2020-04-24,3607,1030,179,2398,1209,141,11517
2020-04-25,3780,1107,187,2486,1294,144,11517
2020-04-26,3892,1140,192,2560,1332,139,11517
2020-04-27,4003,1162,197,2644,1359,151,11517
2020-04-28,4127,1192,207,2728,1399,155,11517
2020-04-29,4285,1256,215,2814,1471,154,11517
2020-04-30,4427,1292,220,2915,1512,157,11517
2020-05-01,4531,1320,229,2982,1549,NA,11517
2020-05-02,4679,1354,241,3084,1595,164,11517
2020-05-03,4782,1442,249,3091,1691,161,11517
2020-05-04,4886,1472,262,3152,1734,146,11517
2020-05-05,5020,1524,264,3232,1788,148,11517
2020-05-06,5208,1601,273,3334,1874,143,11517
2020-05-07,5371,1659,285,3427,1944,151,11517
2020-05-08,5611,1728,293,3590,2021,155,11517
2020-05-09,5776,1757,300,3719,2057,157,11517
2020-05-10,6034,1837,305,3892,2142,160,11517
2020-05-11,6278,1862,317,4099,2179,164,11517
2020-05-12,6563,2266,321,3976,2587,170,11517
2020-05-13,6879,2385,344,4150,2729,147,11517
2020-05-14,7134,2497,353,4284,2850,147,11517
2020-05-15,7479,2534,363,4582,2897,149,11517
2020-05-16,7805,2569,366,4870,2935,151,11517
2020-05-17,8068,2625,374,5069,2999,154,11517
2020-05-18,8371,2872,384,5115,3256,159,11517
2020-05-19,8809,2933,394,5482,3327,156,11517
2020-05-20,9283,3032,404,5847,3436,161,11517
2020-05-21,9930,3062,419,6449,3481,171,11517
2020-05-22,10648,3530,439,6679,3969,172,11517
2020-05-23,11352,3732,448,7172,4180,173,11517
2020-05-24,12075,3999,456,7620,4455,181,11517
2020-05-25,12627,4167,471,7989,4638,NA,11517
2020-05-26,13227,4349,492,8386,4841,203,11517
2020-05-27,13933,4617,501,8815,5118,250,11517
2020-05-28,14702,4788,510,9404,5298,254,11517
2020-05-29,15419,5100,524,9795,5624,259,11517
